ClimateZone,SurfaceType,Age,PCI
dry-freeze,AC,0,96.305
dry-freeze,AC,1,92.795
dry-freeze,AC,2,90.929
dry-freeze,AC,3,79.618
dry-freeze,AC,4,77.535
dry-freeze,AC,5,70.952
dry-freeze,AC,6,70.23299999999999
dry-freeze,AC,7,98.872
dry-freeze,AC,8,92.681
dry-freeze,AC,9,88.586
dry-freeze,AC,10,85.111
dry-freeze,AC,11,82.622
dry-freeze,AC,12,75.029
dry-freeze,AC,13,71.047
dry-freeze,AC,14,97.295
dry-freeze,AC,15,95.962
dry-freeze,AC,16,87.91900000000001
dry-freeze,AC,17,84.97999999999999
dry-freeze,AC,18,76.62100000000001
dry-freeze,AC,19,75.938
dry-freeze,AC,20,69.39500000000001
dry-freeze,AC,21,98.526
dry-freeze,AC,22,96.307
dry-freeze,AC,23,88.033
dry-freeze,AC,24,83.34700000000001
dry-freeze,AC,25,75.16900000000001
dry-freeze,AC,26,68.79299999999999
dry-freeze,AC,27,62.053999999999995
dry-freeze,AC,28,95.598
dry-freeze,AC,29,92.72
dry-freeze,AC,30,86.259
dry-freeze,PCC,0,95.466
dry-freeze,PCC,1,93.28099999999999
dry-freeze,PCC,2,88.08200000000001
dry-freeze,PCC,3,85.292
dry-freeze,PCC,4,81.122
dry-freeze,PCC,5,77.923
dry-freeze,PCC,6,73.2
dry-freeze,PCC,7,97.662
dry-freeze,PCC,8,95.155
dry-freeze,PCC,9,90.034
dry-freeze,PCC,10,84.765
dry-freeze,PCC,11,83.357
dry-freeze,PCC,12,77.765
dry-freeze,PCC,13,75.154
dry-freeze,PCC,14,97.821
dry-freeze,PCC,15,95.264
dry-freeze,PCC,16,91.39399999999999
dry-freeze,PCC,17,81.297
dry-freeze,PCC,18,78.613
dry-freeze,PCC,19,75.549
dry-freeze,PCC,20,68.848
dry-freeze,PCC,21,97.938
dry-freeze,PCC,22,92.357
dry-freeze,PCC,23,91.433
dry-freeze,PCC,24,81.796
dry-freeze,PCC,25,84.111
dry-freeze,PCC,26,73.235
dry-freeze,PCC,27,71.162
dry-freeze,PCC,28,98.011
dry-freeze,PCC,29,93.764
dry-freeze,PCC,30,87.94300000000001
dry-no-freeze,AC,0,96.053
dry-no-freeze,AC,1,91.455
dry-no-freeze,AC,2,90.443
dry-no-freeze,AC,3,81.603
dry-no-freeze,AC,4,81.263
dry-no-freeze,AC,5,77.936
dry-no-freeze,AC,6,77.82000000000001
dry-no-freeze,AC,7,99.588
dry-no-freeze,AC,8,94.481
dry-no-freeze,AC,9,91.852
dry-no-freeze,AC,10,89.331
dry-no-freeze,AC,11,86.108
dry-no-freeze,AC,12,79.309
dry-no-freeze,AC,13,71.993
dry-no-freeze,AC,14,98.34
dry-no-freeze,AC,15,92.846
dry-no-freeze,AC,16,91.019
dry-no-freeze,AC,17,83.873
dry-no-freeze,AC,18,77.026
dry-no-freeze,AC,19,76.322
dry-no-freeze,AC,20,73.862
dry-no-freeze,AC,21,99.52799999999999
dry-no-freeze,AC,22,94.291
dry-no-freeze,AC,23,87.60900000000001
dry-no-freeze,AC,24,85.767
dry-no-freeze,AC,25,78.694
dry-no-freeze,AC,26,73.97099999999999
dry-no-freeze,AC,27,68.556
dry-no-freeze,AC,28,97.197
dry-no-freeze,AC,29,93.80199999999999
dry-no-freeze,AC,30,89.701
dry-no-freeze,PCC,0,95.70700000000001
dry-no-freeze,PCC,1,93.51599999999999
dry-no-freeze,PCC,2,88.01
dry-no-freeze,PCC,3,88.243
dry-no-freeze,PCC,4,81.87
dry-no-freeze,PCC,5,77.473
dry-no-freeze,PCC,6,76.96000000000001
dry-no-freeze,PCC,7,97.934
dry-no-freeze,PCC,8,95.011
dry-no-freeze,PCC,9,91.01
dry-no-freeze,PCC,10,85.292
dry-no-freeze,PCC,11,84.865
dry-no-freeze,PCC,12,84.587
dry-no-freeze,PCC,13,77.848
dry-no-freeze,PCC,14,98.831
dry-no-freeze,PCC,15,96.288
dry-no-freeze,PCC,16,90.046
dry-no-freeze,PCC,17,87.44800000000001
dry-no-freeze,PCC,18,84.579
dry-no-freeze,PCC,19,79.619
dry-no-freeze,PCC,20,73.743
dry-no-freeze,PCC,21,98.142
dry-no-freeze,PCC,22,96.238
dry-no-freeze,PCC,23,93.152
dry-no-freeze,PCC,24,85.591
dry-no-freeze,PCC,25,83.24300000000001
dry-no-freeze,PCC,26,76.475
dry-no-freeze,PCC,27,70.102
dry-no-freeze,PCC,28,98.642
dry-no-freeze,PCC,29,92.836
dry-no-freeze,PCC,30,89.42
wet-freeze,AC,0,95.682
wet-freeze,AC,1,91.52040000000001
wet-freeze,AC,2,84.3656
wet-freeze,AC,3,79.25399999999999
wet-freeze,AC,4,76.03519999999999
wet-freeze,AC,5,71.0056
wet-freeze,AC,6,65.7756
wet-freeze,AC,7,97.9728
wet-freeze,AC,8,93.3936
wet-freeze,AC,9,88.3144
wet-freeze,AC,10,84.44
wet-freeze,AC,11,79.232
wet-freeze,AC,12,72.2696
wet-freeze,AC,13,66.8216
wet-freeze,AC,14,97.5036
wet-freeze,AC,15,93.6468
wet-freeze,AC,16,88.7448
wet-freeze,AC,17,82.77879999999999
wet-freeze,AC,18,74.9128
wet-freeze,AC,19,71.3088
wet-freeze,AC,20,65.1308
wet-freeze,AC,21,97.99719999999999
wet-freeze,AC,22,92.38159999999999
wet-freeze,AC,23,86.26639999999999
wet-freeze,AC,24,78.7416
wet-freeze,AC,25,73.66720000000001
wet-freeze,AC,26,67.5804
wet-freeze,AC,27,59.3408
wet-freeze,AC,28,98.094
wet-freeze,AC,29,91.4468
wet-freeze,AC,30,84.11840000000001
wet-freeze,PCC,0,95.598
wet-freeze,PCC,1,91.3176
wet-freeze,PCC,2,87.1776
wet-freeze,PCC,3,83.61200000000001
wet-freeze,PCC,4,79.3516
wet-freeze,PCC,5,75.6696
wet-freeze,PCC,6,70.132
wet-freeze,PCC,7,97.088
wet-freeze,PCC,8,95.39040000000001
wet-freeze,PCC,9,89.0724
wet-freeze,PCC,10,86.6232
wet-freeze,PCC,11,80.39399999999999
wet-freeze,PCC,12,75.2868
wet-freeze,PCC,13,70.4872
wet-freeze,PCC,14,98.0088
wet-freeze,PCC,15,94.1908
wet-freeze,PCC,16,88.48280000000001
wet-freeze,PCC,17,83.79799999999999
wet-freeze,PCC,18,78.0692
wet-freeze,PCC,19,72.3556
wet-freeze,PCC,20,69.46520000000001
wet-freeze,PCC,21,97.712
wet-freeze,PCC,22,94.852
wet-freeze,PCC,23,88.35960000000001
wet-freeze,PCC,24,84.9316
wet-freeze,PCC,25,77.0844
wet-freeze,PCC,26,71.58
wet-freeze,PCC,27,66.83359999999999
wet-freeze,PCC,28,98.3048
wet-freeze,PCC,29,93.6824
wet-freeze,PCC,30,87.4744
wet-no-freeze,AC,0,95.268
wet-no-freeze,AC,1,90.5245
wet-no-freeze,AC,2,87.409
wet-no-freeze,AC,3,85.285
wet-no-freeze,AC,4,79.33200000000001
wet-no-freeze,AC,5,74.3345
wet-no-freeze,AC,6,70.0405
wet-no-freeze,AC,7,98.27799999999999
wet-no-freeze,AC,8,94.8005
wet-no-freeze,AC,9,90.7125
wet-no-freeze,AC,10,84.36749999999999
wet-no-freeze,AC,11,82.90950000000001
wet-no-freeze,AC,12,76.36699999999999
wet-no-freeze,AC,13,70.83
wet-no-freeze,AC,14,97.737
wet-no-freeze,AC,15,94.43350000000001
wet-no-freeze,AC,16,90.253
wet-no-freeze,AC,17,85.71799999999999
wet-no-freeze,AC,18,78.3315
wet-no-freeze,AC,19,75.4275
wet-no-freeze,AC,20,66.717
wet-no-freeze,AC,21,97.8305
wet-no-freeze,AC,22,93.8475
wet-no-freeze,AC,23,86.9615
wet-no-freeze,AC,24,82.2765
wet-no-freeze,AC,25,78.487
wet-no-freeze,AC,26,72.4085
wet-no-freeze,AC,27,67.683
wet-no-freeze,AC,28,99.0215
wet-no-freeze,AC,29,95.22
wet-no-freeze,AC,30,88.6935
wet-no-freeze,PCC,0,94.2205
wet-no-freeze,PCC,1,92.072
wet-no-freeze,PCC,2,89.8485
wet-no-freeze,PCC,3,84.8445
wet-no-freeze,PCC,4,81.696
wet-no-freeze,PCC,5,74.6745
wet-no-freeze,PCC,6,72.6905
wet-no-freeze,PCC,7,97.2325
wet-no-freeze,PCC,8,95.45750000000001
wet-no-freeze,PCC,9,91.314
wet-no-freeze,PCC,10,88.7125
wet-no-freeze,PCC,11,80.969
wet-no-freeze,PCC,12,76.785
wet-no-freeze,PCC,13,73.187
wet-no-freeze,PCC,14,97.0145
wet-no-freeze,PCC,15,95.684
wet-no-freeze,PCC,16,90.625
wet-no-freeze,PCC,17,87.9355
wet-no-freeze,PCC,18,80.8365
wet-no-freeze,PCC,19,76.689
wet-no-freeze,PCC,20,73.72
wet-no-freeze,PCC,21,98.3265
wet-no-freeze,PCC,22,96.247
wet-no-freeze,PCC,23,89.4125
wet-no-freeze,PCC,24,83.632
wet-no-freeze,PCC,25,79.1725
wet-no-freeze,PCC,26,72.55199999999999
wet-no-freeze,PCC,27,66.2855
wet-no-freeze,PCC,28,98.5745
wet-no-freeze,PCC,29,94.14399999999999
wet-no-freeze,PCC,30,90.42699999999999
