DataBase,Network,ClimateZoneType,AirportType,InspectionID,BranchName,InspectionDate,SectionName,SectionID,Surface,Rank,ConstructionInspection,PCI,ConstructionDate,Age,PatchingDate,HasSamples
vphl,PHILADELPHIA INTL AIRPORT,,,51,RW8,2021-04-11 00:00:00,10C,265,AC,S,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,59,RW17,2021-04-11 00:00:00,60L,376,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,64,RW9R,2019-04-10 00:00:00,60RC,174,AC,P,True,100,2019-04-10 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,71,RW8,2021-04-01 00:00:00,10R,329,AC,S,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,72,RW9L,2013-12-23 00:00:00,10C,269,AAC,P,True,100,2013-12-23 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,43,RW17,2017-11-13 00:00:00,20L,226,AAC,P,False,68,2003-01-01 00:00:00,14,,5
vphl,PHILADELPHIA INTL AIRPORT,,,36,RW17,2017-11-13 00:00:00,10L,386,AAC,P,False,74,2003-01-01 00:00:00,14,,3
vphl,PHILADELPHIA INTL AIRPORT,,,35,RW9L,2021-04-12 00:00:00,10R,380,AAC,P,False,79,2014-08-17 00:00:00,7,,6
vphl,PHILADELPHIA INTL AIRPORT,,,182,RW9R,2021-04-12 00:00:00,50LC,17,AC,P,False,84,2018-06-01 00:00:00,3,,4
vphl,PHILADELPHIA INTL AIRPORT,,,27,RW17,2017-11-13 00:00:00,05L,478,AAC,P,False,80,2009-01-01 00:00:00,8,,2
vphl,PHILADELPHIA INTL AIRPORT,,,20,RW9R,2017-11-13 00:00:00,40RC,243,AC,P,False,58,2010-06-01 00:00:00,7,,3
vphl,PHILADELPHIA INTL AIRPORT,,,13,RW8,2021-04-01 00:00:00,10C,265,AC,S,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,8,RW9R,2017-11-13 00:00:00,20L,501,AC,P,False,83,2010-06-01 00:00:00,7,,5
vphl,PHILADELPHIA INTL AIRPORT,,,5,RW17,2021-04-12 00:00:00,05R,421,AAC,P,False,100,2021-04-11 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,245,RW8,2021-04-12 00:00:00,50L,466,AC,S,False,71,2007-10-16 00:00:00,14,2021-04-01 00:00:00,7
vphl,PHILADELPHIA INTL AIRPORT,,,247,RW8,2007-10-16 00:00:00,50L,466,AC,S,True,100,2007-10-16 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,251,RW9R,2021-04-12 00:00:00,10R,263,AC,P,False,75,2011-07-04 00:00:00,10,,5
vphl,PHILADELPHIA INTL AIRPORT,,,255,RW17,2021-04-11 00:00:00,40R,292,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,262,RW8,2021-04-12 00:00:00,30L,452,AC,S,False,70,2007-01-18 00:00:00,14,2021-04-01 00:00:00,5
vphl,PHILADELPHIA INTL AIRPORT,,,264,RW17,2017-11-13 00:00:00,40L,272,AAC,P,False,52,2003-01-01 00:00:00,14,,3
vphl,PHILADELPHIA INTL AIRPORT,,,275,RW17,2021-04-11 00:00:00,30,463,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,295,RW17,2021-04-12 00:00:00,44L,320,AAC,P,False,74,2011-07-04 00:00:00,10,,2
vphl,PHILADELPHIA INTL AIRPORT,,,168,RW9L,2021-04-12 00:00:00,30L,410,AAC,P,False,78,2014-08-17 00:00:00,7,,7
vphl,PHILADELPHIA INTL AIRPORT,,,157,RW17,2021-04-01 00:00:00,60L,376,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,138,RW9L,2021-04-12 00:00:00,10L,322,AAC,P,False,78,2014-08-17 00:00:00,7,,6
vphl,PHILADELPHIA INTL AIRPORT,,,129,RW17,2021-04-01 00:00:00,40L,272,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,117,RW9L,2014-08-17 00:00:00,10R,380,AAC,P,True,100,2014-08-17 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,115,RW17,2021-04-12 00:00:00,44,232,AAC,P,False,44,2003-01-01 00:00:00,18,,2
vphl,PHILADELPHIA INTL AIRPORT,,,110,RW17,2021-04-12 00:00:00,44R,515,AAC,P,False,74,2011-07-04 00:00:00,10,,2
vphl,PHILADELPHIA INTL AIRPORT,,,97,RW9R,2018-06-01 00:00:00,50LC,17,AC,P,True,100,2018-06-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,357,RW17,2017-11-13 00:00:00,42,297,AAC,P,False,33,1994-01-01 00:00:00,23,,2
vphl,PHILADELPHIA INTL AIRPORT,,,358,RW9R,2017-11-13 00:00:00,40LC,490,AC,P,False,58,2010-06-01 00:00:00,7,,3
vphl,PHILADELPHIA INTL AIRPORT,,,360,RW17,2017-11-13 00:00:00,40,456,AAC,P,False,44,2003-01-01 00:00:00,14,,4
vphl,PHILADELPHIA INTL AIRPORT,,,374,RW9L,2021-04-12 00:00:00,40C,387,AAC,P,False,77,2012-06-02 00:00:00,9,,5
vphl,PHILADELPHIA INTL AIRPORT,,,377,RW17,2021-04-12 00:00:00,42L,448,AAC,P,False,100,2021-04-11 00:00:00,0,,2
vphl,PHILADELPHIA INTL AIRPORT,,,382,RW17,2017-11-13 00:00:00,30R,284,AAC,P,False,42,2003-01-01 00:00:00,14,,5
vphl,PHILADELPHIA INTL AIRPORT,,,387,RW8,2017-11-13 00:00:00,30L,452,AC,S,False,62,2007-01-18 00:00:00,10,,3
vphl,PHILADELPHIA INTL AIRPORT,,,91,RW9R,2021-04-12 00:00:00,30R,497,AC,P,False,62,2010-06-01 00:00:00,11,,18
vphl,PHILADELPHIA INTL AIRPORT,,,86,RW8,2021-04-11 00:00:00,10R,329,AC,S,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,424,RW9R,2021-04-12 00:00:00,10L,371,AC,P,False,66,2010-06-01 00:00:00,11,,5
vphl,PHILADELPHIA INTL AIRPORT,,,429,RW17,2017-11-13 00:00:00,44L,320,AAC,P,False,87,2011-07-04 00:00:00,6,,1
vphl,PHILADELPHIA INTL AIRPORT,,,432,RW9L,2016-08-23 00:00:00,20L,445,AAC,P,True,100,2016-08-23 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,435,RW9L,2021-04-12 00:00:00,30R,436,AAC,P,False,78,2014-08-17 00:00:00,7,,7
vphl,PHILADELPHIA INTL AIRPORT,,,441,RW9L,2016-08-23 00:00:00,40L,366,AAC,P,True,100,2016-08-23 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,445,RW17,2021-04-01 00:00:00,20,378,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,452,RW17,2021-04-11 00:00:00,60R,394,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,454,RW8,2021-04-01 00:00:00,20R,111,AC,S,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,462,RW9R,2021-04-12 00:00:00,30LC,506,AC,P,False,47,2010-06-01 00:00:00,11,,18
vphl,PHILADELPHIA INTL AIRPORT,,,464,RW8,2021-04-12 00:00:00,10L,491,AC,S,False,100,2021-04-11 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,470,RW17,2021-04-01 00:00:00,10,285,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,478,RW17,2021-04-11 00:00:00,05,368,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,176,RW17,2021-04-12 00:00:00,05,368,AAC,P,False,100,2021-04-11 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,180,RW17,2021-04-12 00:00:00,50L,346,AAC,P,False,73,2009-07-19 00:00:00,12,,3
vphl,PHILADELPHIA INTL AIRPORT,,,510,RW9R,2017-11-13 00:00:00,30L,273,AC,P,False,77,2010-06-01 00:00:00,7,,16
vphl,PHILADELPHIA INTL AIRPORT,,,523,RW17,2021-04-01 00:00:00,60,330,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,531,RW17,2021-04-01 00:00:00,05R,421,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,535,RW9R,2019-01-01 00:00:00,50L,21,AC,P,True,100,2019-01-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,553,RW9L,2021-04-12 00:00:00,20R,416,AAC,P,False,74,2012-06-01 00:00:00,9,,10
vphl,PHILADELPHIA INTL AIRPORT,,,559,RW17,2017-11-13 00:00:00,05,368,AAC,P,False,82,2009-01-01 00:00:00,8,,2
vphl,PHILADELPHIA INTL AIRPORT,,,564,RW9R,2017-11-13 00:00:00,20LC,235,AC,P,False,52,2010-06-01 00:00:00,7,,5
vphl,PHILADELPHIA INTL AIRPORT,,,567,RW17,2021-04-01 00:00:00,20R,459,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,568,RW8,2021-04-12 00:00:00,10C,265,AC,S,False,100,2021-04-11 00:00:00,0,,5
