AirportCode,ClimateZone,SurfaceType,SectionID,Age,PCI,HasRehab
PHL,wet-freeze,AC,1,0,97.01,0
PHL,wet-freeze,AC,1,1,91.32,0
PHL,wet-freeze,AC,1,2,91.53,0
PHL,wet-freeze,AC,1,3,92.43,0
PHL,wet-freeze,AC,1,4,77.71,0
PHL,wet-freeze,AC,1,5,72.07,0
PHL,wet-freeze,AC,1,6,74.45,0
PHL,wet-freeze,AC,1,7,100.0,1
PHL,wet-freeze,AC,1,8,94.24,0
PHL,wet-freeze,AC,1,9,94.27,0
PHL,wet-freeze,AC,1,10,86.1,0
PHL,wet-freeze,AC,1,11,82.04,0
PHL,wet-freeze,AC,1,12,80.15,0
PHL,wet-freeze,AC,1,13,66.25,0
PHL,wet-freeze,AC,1,14,91.38,1
PHL,wet-freeze,AC,1,15,92.63,0
PHL,wet-freeze,AC,1,16,83.66,0
PHL,wet-freeze,AC,1,17,84.08,0
PHL,wet-freeze,AC,1,18,73.31,0
PHL,wet-freeze,AC,1,19,64.36,0
PHL,wet-freeze,AC,1,20,71.27,0
PHL,wet-freeze,AC,1,21,98.87,1
PHL,wet-freeze,AC,1,22,96.11,0
PHL,wet-freeze,AC,1,23,80.58,0
PHL,wet-freeze,AC,1,24,77.43,0
PHL,wet-freeze,AC,1,25,74.87,0
PHL,wet-freeze,AC,1,26,63.62,0
PHL,wet-freeze,AC,1,27,62.45,0
PHL,wet-freeze,AC,1,28,97.0,1
PHL,wet-freeze,AC,1,29,92.13,0
PHL,wet-freeze,AC,1,30,85.33,0
PHL,wet-freeze,AC,2,0,100.0,0
PHL,wet-freeze,AC,2,1,90.6,0
PHL,wet-freeze,AC,2,2,80.08,0
PHL,wet-freeze,AC,2,3,83.21,0
PHL,wet-freeze,AC,2,4,67.09,0
PHL,wet-freeze,AC,2,5,69.26,0
PHL,wet-freeze,AC,2,6,51.35,0
PHL,wet-freeze,AC,2,7,93.36,1
PHL,wet-freeze,AC,2,8,96.17,0
PHL,wet-freeze,AC,2,9,93.23,0
PHL,wet-freeze,AC,2,10,83.41,0
PHL,wet-freeze,AC,2,11,76.0,0
PHL,wet-freeze,AC,2,12,67.94,0
PHL,wet-freeze,AC,2,13,56.28,0
PHL,wet-freeze,AC,2,14,96.4,1
PHL,wet-freeze,AC,2,15,90.71,0
PHL,wet-freeze,AC,2,16,94.48,0
PHL,wet-freeze,AC,2,17,86.22,0
PHL,wet-freeze,AC,2,18,70.7,0
PHL,wet-freeze,AC,2,19,77.15,0
PHL,wet-freeze,AC,2,20,68.89,0
PHL,wet-freeze,AC,2,21,96.62,1
PHL,wet-freeze,AC,2,22,98.37,0
PHL,wet-freeze,AC,2,23,94.94,0
PHL,wet-freeze,AC,2,24,87.19,0
PHL,wet-freeze,AC,2,25,72.38,0
PHL,wet-freeze,AC,2,26,69.06,0
PHL,wet-freeze,AC,2,27,67.05,0
PHL,wet-freeze,AC,2,28,100.0,1
PHL,wet-freeze,AC,2,29,91.52,0
PHL,wet-freeze,AC,2,30,83.69,0
PHL,wet-freeze,AC,3,0,88.96,0
PHL,wet-freeze,AC,3,1,83.18,0
PHL,wet-freeze,AC,3,2,90.01,0
PHL,wet-freeze,AC,3,3,86.83,0
PHL,wet-freeze,AC,3,4,76.5,0
PHL,wet-freeze,AC,3,5,77.66,0
PHL,wet-freeze,AC,3,6,67.3,0
PHL,wet-freeze,AC,3,7,96.77,1
